hotel,price,score,avg review,reviews count,comfort,distancia del centro,nivel de sostenibilidad,información habitación,Desayuno incluido,Cancelación incluida,Municipio,url,fecha_consulta
Hotel Agromaceo,COP 45.600,"['5,0']",['Puntuación'],['1 comentario'],['Ubicación 10'],['a 400 m del centro'],[],['Habitación Doble'],"['Habitación Doble', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MACEO,https://www.booking.com/searchresults.es.html?checkin=2023-10-23&checkout=2023-10-24&selected_currency=COP&ss=MACEO&ssne=MACEO&ssne_untouched=MACEO&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-10-13
Hotel Brisas del Nus,COP 96.900,"['9,0']",['Fantástico'],['7 comentarios'],[],"['a 7,9 km de Maceo']",[],['Habitación Doble'],"['Habitación Doble', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MACEO,https://www.booking.com/searchresults.es.html?checkin=2023-10-23&checkout=2023-10-24&selected_currency=COP&ss=MACEO&ssne=MACEO&ssne_untouched=MACEO&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-10-13
Isla Escondida Maceo Finca Hotel y Restaurante,COP 143.660,[],[],[],[],"['a 7,2 km de Maceo']",[],['Habitación Doble'],"['Habitación Doble', 'Desayuno incluido', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MACEO,https://www.booking.com/searchresults.es.html?checkin=2023-10-23&checkout=2023-10-24&selected_currency=COP&ss=MACEO&ssne=MACEO&ssne_untouched=MACEO&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-10-13
Finca Hotel y Restaurante Isla Escondida,COP 143.660,[],[],[],[],"['a 7,2 km de Maceo']",[],['Habitación con cama extragrande.'],"['Habitación con cama extragrande.', 'Desayuno incluido', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MACEO,https://www.booking.com/searchresults.es.html?checkin=2023-10-23&checkout=2023-10-24&selected_currency=COP&ss=MACEO&ssne=MACEO&ssne_untouched=MACEO&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-10-13
Ecohostel Caracolí,COP 92.800,['10'],['Excepcional'],['3 comentarios'],['Ubicación 10'],"['a 16,4 km de Maceo']",['Travel Sustainable Nivel 3'],['Habitación Doble con baño privado externo'],"['Habitación Doble con baño privado externo', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MACEO,https://www.booking.com/searchresults.es.html?checkin=2023-10-23&checkout=2023-10-24&selected_currency=COP&ss=MACEO&ssne=MACEO&ssne_untouched=MACEO&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-10-13
El Mejor Lugar Caracoli 1 Hospedar Ya,COP 150.000,[],[],[],[],"['a 16,4 km de Maceo']",[],['Casa con 1 dormitorio'],"['Casa con 1 dormitorio', 'Casa o chalet entero • 1 dormitorio • 1 baño • 50m²', 'Casa o chalet entero', '1 dormitorio', '1 baño', '50m²', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MACEO,https://www.booking.com/searchresults.es.html?checkin=2023-10-23&checkout=2023-10-24&selected_currency=COP&ss=MACEO&ssne=MACEO&ssne_untouched=MACEO&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=0,2023-10-13
