Nombre Municipio
MEDELLIN
ABEJORRAL
ABRIAQUI
ALEJANDRIA
AMAGA
AMALFI ANTIOQUIA COLOMBIA
ANDES
ANGELOPOLIS
ANGOSTURA
ANORI
SANTAFE DE ANTIOQUIA
ANZA
APARTADO
ARBOLETES
ARGELIA
ARMENIA
BARBOSA
BELMIRA
BELLO
BETANIA
BETULIA
CIUDAD BOLIVAR
BRICEÑO
BURITICA
CACERES
CAICEDO
CALDAS
CAMPAMENTO
CAÑASGORDAS
CARACOLI
CARAMANTA
CAREPA
EL CARMEN DE VIBORAL
CAROLINA DEL PRINCIPE
CAUCASIA
CHIGORODO
CISNEROS ANTIOQUIA COLOMBIA
COCORNA
CONCEPCION ANTIOQUIA COLOMBIA
CONCORDIA
COPACABANA
DABEIBA
DON MATIAS
EBEJICO
EL BAGRE
ENTRERRIOS
ENVIGADO
FREDONIA
FRONTINO
GIRALDO
GIRARDOTA
GOMEZ PLATA
GRANADA
GUADALUPE
GUARNE
GUATAPE
HELICONIA
HISPANIA
ITAGUI
ITUANGO
JARDIN
JERICÓ ANTIOQUIA COLOMBIA
LA CEJA
LA ESTRELLA
LA PINTADA
LA UNION
LIBORINA
MACEO
MARINILLA
MONTEBELLO
MURINDO
MUTATA
NARIÑO
NECOCLI
NECHI
OLAYA
EL PEÑOL
PEQUE
PUEBLORRICO
PUERTO BERRIO
PUERTO NARE
PUERTO TRIUNFO
REMEDIOS
RETIRO
RIONEGRO ANTIOQUIA COLOMBIA
SABANALARGA
SABANETA
SALGAR
SAN ANDRES DE CUERQUIA
SAN CARLOS ANTIOQUIA COLOMBIA
SAN FRANCISCO
SAN JERONIMO
SAN JOSE DE LA MONTAÑA
SAN JUAN DE URABA
SAN LUIS
SAN PEDRO
SAN PEDRO DE URABA
SAN RAFAEL ANTIOQUIA COLOMBIA
SAN ROQUE
SAN VICENTE
SANTA BARBARA
SANTA ROSA DE OSOS
SANTO DOMINGO ANTIOQUIA COLOMBIA
EL SANTUARIO
SEGOVIA
SONSON
SOPETRAN
TAMESIS
TARAZA
TARSO
TITIRIBI
TOLEDO
TURBO
URAMITA
URRAO
VALDIVIA
VALPARAISO
VEGACHI
VENECIA
VIGIA DEL FUERTE
YALI
YARUMAL
YOLOMBO
YONDO
ZARAGOZA
